movie_title,word_count,lexical_diversity,sentiment,subjectivity,avg_sentence_length
All Is True_9206798,17656,0.2601381966470322,0.11293293757097658,0.5156194611312422,6.988528481012659
All That Jazz_0078754,23535,0.32492033142128746,0.06162848993764176,0.45755592444314275,7.5329113924050635
All You Need Is Love_1725862,22808,0.28976674850929496,-0.003997868433439023,0.4517711981375949,8.493859322664681
All the King s Men_0041113,17290,0.23013302486986698,0.09492456430280793,0.491650036261343,6.857652656621728
All the Money in the World_5294550,23832,0.25763679086941926,0.06656631665744105,0.4601201845930015,8.04284750337382
Almost Famous_0181875,33971,0.24329575225927996,0.1392179953068175,0.4685236073606636,7.570317707176183
Alone in the Dark_0369226,21765,0.22641856191132553,0.006392655895004152,0.4228463179402491,8.71537229783827
Altered Carbon Episode 1 Spoiler Free Review Out of the Past_13255492,14064,0.33646188850967007,0.01624085414743958,0.46688413540906537,10.504464285714286
Altered States_0080360,31672,0.2481687294771407,0.05144393375387969,0.4427464290135991,13.117087298303682
Am I Blue Part 2_0826905,9687,0.313512955507381,-0.015269244117856283,0.4450232791307655,6.556385869565218
Amadeus_0086879,32428,0.2235722215369434,0.10773782291287781,0.47748289665645016,7.25867084358917
Amelia_1129445,23181,0.2925240498684267,0.1154973912591936,0.47140285322688774,6.635895970277222
American Animals_6212478,29830,0.2263493127723768,0.06824334501803639,0.498671134535332,13.52445652173913
American Beauty_0169547,17920,0.26662946428571427,0.06377466201126912,0.49704943847801003,8.13049388309923
American Bully_1169133,32736,0.24657869012707723,0.03609880736397726,0.509293693990296,12.321549454682211
American Gangster_0765429,26587,0.23684507466054838,0.046984948384948384,0.4348822681591913,10.002635542168674
American Gods 1x1 REACTION The Bone Orchard_11563674,12970,0.3573631457208944,0.07543319701847909,0.5011456154269083,6.707581227436823
American History X_0120586,18053,0.2667700659170221,-0.032266360781451425,0.4351664139933638,6.708702064896755
American Horror Story_1844624,10681,0.3311487688418687,0.01909375727376368,0.5122083744628381,6.901417525773196
American Hustle_1800241,25222,0.2096978828007295,0.08008708074426475,0.5618235260521206,8.144927536231885
American Madness_0022626,22219,0.21513119402313335,0.10687718465517317,0.49134894097272663,6.668602873738918
American Milkshake_2254364,9015,0.3455352190793123,-0.010825042038765489,0.40541779582750764,8.7256038647343
American Outlaws_0244000,19212,0.26499063085571517,0.05717327379436757,0.4587291608124942,8.095117845117844
American Psycho_0144084,18742,0.2983139472841746,0.05304520293417462,0.5199061773629583,7.171157495256167
American Shaolin_0101327,23442,0.21350567357733982,0.06211180697183004,0.42415721383924215,9.244227005870842
American Splendor_0305206,17031,0.29499148611355763,0.051721111834278216,0.4770715375310959,8.054716981132076
American Ultra_3316948,19044,0.3003570678428901,-0.013749244469474516,0.5182464570296602,10.317862924986509
American Werewolf in London_1789110,14553,0.2829657115371401,0.014840782249209506,0.5023021688390541,6.60643115942029
Amour_1602620,12549,0.2614550960235875,0.04411187103531366,0.468248866518097,7.073927765237021
An Act of Murder_0040072,5698,0.343980343980344,0.06284996253746254,0.44086154457682264,10.074204946996467
An Adventure in Space and Time_2663812,16968,0.28282649693540785,0.05420629713348038,0.47890959377560194,6.440697233800682
An Affair to Remember_0050105,17212,0.2656286311875436,0.09285478011046193,0.47499460219914796,8.225513616817965
An American Tragedy_0021607,30626,0.2272905374518383,0.08612645709325392,0.49219677804834056,13.962629446195407
An American Werewolf in London_0082010,14547,0.282807451708256,0.014840782249209506,0.5023021688390541,6.603713768115942
An American Werewolf in Paris_0118604,23910,0.27026348808030115,-0.01358284549019413,0.4547926592360186,7.696911196911197
An Education_1174732,19625,0.23628025477707007,0.13423576681833985,0.4855315827724583,6.897794889744487
An Officer and a Gentleman_0084434,22632,0.2569370802403676,0.039152906381749,0.4778039879031068,8.999603174603175
An Unconventional Love Story The Making of Last Chance Harvey_2043778,13431,0.25634725634725636,0.039542768040972544,0.5016558145456919,5.777777777777778
Anaconda_0118615,23244,0.27723283427981416,0.0625929843643258,0.47714263017921554,7.74966577540107
Analyze That_0289848,18887,0.26139672790808494,0.061029843287981334,0.5119855934960097,7.3059413580246915
Analyze This_0122933,19470,0.24031843862352337,0.07397264887378269,0.5120248413500632,7.123813002191381
Anastasia_0118617,14624,0.28036105032822756,0.03624897766116566,0.5113754373627692,9.571523619427811
Anatomy of a Murder_0052561,37540,0.2075386254661694,0.05526177835542385,0.4599218047838452,12.13540654356981
And Away We Go_1003594,20519,0.26711828061796383,0.12438725133992987,0.5253537105751391,7.042553191489362
Angel Eyes_0225071,25417,0.20073179368139435,0.06300137151193294,0.45045778295778255,7.441976030400467
Angels with Dirty Faces_0029870,27618,0.35853428923166053,0.07011939066386924,0.47426965388621783,14.643574828133262
